run_key,status,scenario,row_arm,seed,budget_multiplier,requested_model_evaluations,model_evaluations,coalition_policy,shap_mse,shap_relative_l2_error,full_kernel_loss,full_kernel_excess_loss,efficiency_residual,condition_number,explanation_drift_vs_full_rows,downstream_rmse,row_gram_relative_error,row_budget_exact,runtime_seconds
synthetic_interaction|not_applicable|seed=151|budget=8|leverage,completed,synthetic_interaction,not_applicable,151,8.0,80,80,leverage,0.0032166233800191455,0.04524838217915595,0.8146749567133524,0.003216623380019046,0.0,7.553981870710318e+16,0.0,,,True,0.002758499998890329
synthetic_interaction|not_applicable|seed=151|budget=16|kernel_weight,completed,synthetic_interaction,not_applicable,151,16.0,160,160,kernel_weight,0.0005450679145009122,0.018626371378186596,0.8120034012478335,0.0005450679145001525,1.7763568394002505e-15,1.689774388376495e+16,0.0,,,True,0.0028461000001698267
synthetic_interaction|not_applicable|seed=151|budget=16|leverage,completed,synthetic_interaction,not_applicable,151,16.0,160,160,leverage,0.001179225301842044,0.027396894875558436,0.8126375586351748,0.0011792253018414467,1.7763568394002505e-15,1.0401889207406676e+16,0.0,,,True,0.003005700000358047
synthetic_threshold|not_applicable|seed=151|budget=2|kernel_weight,completed,synthetic_threshold,not_applicable,151,2.0,20,20,kernel_weight,0.12975326107004767,0.9413895839743982,0.16876358018732224,0.12975326107004753,3.3306690738754696e-15,2.6648321618155504e+16,0.0,,,True,0.002418799998849863
synthetic_threshold|not_applicable|seed=151|budget=2|leverage,completed,synthetic_threshold,not_applicable,151,2.0,20,20,leverage,0.032066675120592816,0.4679906903087686,0.07107699423786756,0.032066675120592865,1.5543122344752192e-15,2.9650836513508044e+16,0.0,,,True,0.0025042000015673693
synthetic_threshold|not_applicable|seed=151|budget=4|kernel_weight,completed,synthetic_threshold,not_applicable,151,4.0,40,40,kernel_weight,0.024938688024112535,0.4127119548246969,0.06394900714138722,0.024938688024112525,2.220446049250313e-16,4.415480744117997e+16,0.0,,,True,0.0024369000020669773
synthetic_threshold|not_applicable|seed=151|budget=4|leverage,completed,synthetic_threshold,not_applicable,151,4.0,40,40,leverage,0.010883764547940376,0.2726464308817224,0.04989408366521508,0.010883764547940385,0.0,8.611074083412302e+17,0.0,,,True,0.0026324999998905696
synthetic_threshold|not_applicable|seed=151|budget=8|kernel_weight,completed,synthetic_threshold,not_applicable,151,8.0,80,80,kernel_weight,0.00549669883266874,0.1937587031669339,0.044507017949943425,0.005496698832668727,6.661338147750939e-16,1.2033374841429522e+17,0.0,,,True,0.0025843000003078487
synthetic_threshold|not_applicable|seed=151|budget=8|leverage,completed,synthetic_threshold,not_applicable,151,8.0,80,80,leverage,0.006233271651276602,0.2063328015499035,0.04524359076855133,0.006233271651276628,6.661338147750939e-16,7.553981870710318e+16,0.0,,,True,0.0027240999988862313
synthetic_threshold|not_applicable|seed=151|budget=16|kernel_weight,completed,synthetic_threshold,not_applicable,151,16.0,160,160,kernel_weight,0.0014143969630459733,0.09828696064345675,0.040424716080320666,0.0014143969630459677,2.220446049250313e-16,1.689774388376495e+16,0.0,,,True,0.0028134999993199017
synthetic_threshold|not_applicable|seed=151|budget=16|leverage,completed,synthetic_threshold,not_applicable,151,16.0,160,160,leverage,0.0010278824485698917,0.08378802875446208,0.0400382015658446,0.0010278824485699042,2.220446049250313e-16,1.0401889207406676e+16,0.0,,,True,0.003022399996552849
