dataset,problem_type,seed,budget_ratio,model,row_arm_id,selection_method,training_reweighting,status,selected_geometry_arm,primary_metric,primary_value,rmse,mae,tail_mae,roc_auc,log_loss,n_experts,total_train_rows,ensemble_fit_seconds,sampler_fit_seconds,gram_relative_error_mean,projection_cost_error_mean,principal_angle_max_mean,effective_sample_size_mean,inclusion_probability_min_mean,inclusion_probability_max_mean
covertype__task_7593,classification,47,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,log_loss,0.569270477916548,,,,,0.569270477916548,2,8000,71.65248348377645,67.90811255946755,0.0093973395942438,7.456294671922528e-12,2.2352084245856024e-06,3637.620883145628,0.0874166861881989,1.0
diamonds__task_233211,regression,11,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,809.4847248061083,809.4847248061083,433.5338070461325,2085.3644055541,,,2,1942,74.20336642302573,73.63076613657176,0.054648661409021,1.9862575186367704e-12,2.6861976031968315e-06,934.9912094519996,0.0208254989427924,0.7768154644956191
diamonds__task_233211,regression,11,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,676.1903331724911,676.1903331724911,358.0793423197439,1697.3045447881616,,,2,3884,73.74155778065324,73.07017079181969,0.0406369891491612,1.807877431319176e-12,2.894602753726177e-06,1866.3433978134908,0.0417075803427278,1.0
diamonds__task_233211,regression,11,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,rmse,592.9025843896329,592.9025843896329,321.8709647333615,1493.2437181707069,,,2,7767,73.18103920668364,72.50257030129433,0.0202164783568117,4.353222281441405e-13,2.3368546416870086e-06,3737.4199913859225,0.0834897564792168,1.0
diamonds__task_233211,regression,29,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,811.6702926335505,811.6702926335505,432.7211936353493,2065.680147277814,,,2,1942,72.65003454312682,71.9993561245501,0.0463996948453597,6.000274747417299e-12,2.175091266537212e-06,920.4531963739742,0.0179685047861056,0.8187467713719317
diamonds__task_233211,regression,29,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,660.1373020400852,660.1373020400852,362.3289028833864,1666.894246161291,,,2,3884,73.25614239647985,72.50407153181732,0.0373344775068789,3.4102520047840296e-12,1.1294363719612753e-06,1840.7579170144277,0.0359762178868407,1.0
diamonds__task_233211,regression,29,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,612.6804590593918,612.6804590593918,333.12655363935335,1544.8919230200884,,,2,7767,75.88977668248117,75.13416599109769,0.0217577188672812,4.364303707584172e-12,2.2530731643016697e-06,3696.943309795427,0.0720139144505881,1.0
diamonds__task_233211,regression,47,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,815.2323753197151,815.2323753197151,441.8600829957232,2109.6431627707334,,,2,1942,75.85836086049676,75.21398594230413,0.0509162911943847,3.301662227305096e-13,1.4574827811144603e-06,932.0992098111265,0.0212889802789372,0.9366944346517858
diamonds__task_233211,regression,47,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,722.1161279856794,722.1161279856794,385.9260708549949,1845.892980573956,,,2,3884,77.07686238922179,76.34993816912174,0.0358358962201576,4.227001461153239e-12,2.4793710361522337e-06,1868.5554897649445,0.0426409713454734,1.0
diamonds__task_233211,regression,47,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,619.7993702832435,619.7993702832435,335.0652740505479,1557.5309273563648,,,2,7767,75.94754400290549,75.26173222064972,0.0199871391881453,1.5087021508151956e-12,1.9468079364612824e-06,3738.461972337871,0.0853784409442506,1.0
OnlineNewsPopularity__task_359941,regression,11,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,15552.61566289092,15552.61566289092,3526.956503871917,17509.51467984363,,,2,1427,59.57120470888913,58.996897637844086,0.1234577376187565,2.29812851814769e-12,2.557352933916692e-06,611.1108204769569,0.0169492056462689,1.0
OnlineNewsPopularity__task_359941,regression,11,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,rmse,16146.906717331369,16146.906717331369,4262.894528743262,21588.53487695873,,,2,2854,58.65516852214933,57.88815034925938,0.061451961832033,2.672484742524831e-12,2.4510378813166933e-06,1235.457401421862,0.0342742245728314,1.0
OnlineNewsPopularity__task_359941,regression,11,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,16013.185715142896,16013.185715142896,4072.909731712765,21205.139135224297,,,2,5709,59.33918766863644,58.552967267110944,0.0454288795689537,3.874747000288916e-12,1.7850445613114854e-06,2489.8185832064246,0.0695198983620265,1.0
OnlineNewsPopularity__task_359941,regression,29,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,15938.950371248353,15938.950371248353,3843.2248705620873,20397.95315527944,,,1,1427,62.29065916314721,61.81961337290704,0.0771289967434892,2.098330963357425e-11,8.537736462515939e-07,1193.04221237127,0.018402621085368,1.0
OnlineNewsPopularity__task_359941,regression,29,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,15798.497285681991,15798.497285681991,3729.080464103157,19567.099505412025,,,1,2854,61.738920364528894,61.20254174619913,0.0530961321751919,2.8075097591032876e-11,2.831646840510158e-06,2413.893085134384,0.0373672860036658,1.0
OnlineNewsPopularity__task_359941,regression,29,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,15840.902117222024,15840.902117222024,3714.7465869607768,20131.119179267884,,,1,5709,63.49715043976903,62.96713032014668,0.0281446857356717,1.3203020572454227e-11,2.4148365394514667e-06,4934.581888388324,0.0760726344369604,1.0
OnlineNewsPopularity__task_359941,regression,47,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,15596.337066539129,15596.337066539129,3401.730017744337,17589.978611649232,,,2,1427,80.48518568836153,79.78661488741636,0.1309365818795393,1.7025295967551485e-11,2.69648388963247e-06,612.9472546775306,0.0215333815986084,0.7332194697940242
OnlineNewsPopularity__task_359941,regression,47,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,15657.526284022082,15657.526284022082,3761.5482710529054,19285.75208813912,,,2,2854,78.629079695791,77.81630582921207,0.0840900742918738,4.357597045356446e-12,2.3044826193991696e-06,1236.827575262293,0.0435317396851703,0.9664389395880484
OnlineNewsPopularity__task_359941,regression,47,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,15765.81439039428,15765.81439039428,3704.255049218109,19001.60637865652,,,2,5709,79.21742743998766,78.40434029325843,0.0601629697900828,5.253234465772173e-12,2.0002028497841475e-06,2513.4522200038364,0.0884222742504329,1.0
bank-marketing__task_359982,classification,11,0.05,lightgbm,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,completed,A2_median_scaled_euclidean,roc_auc,0.8809045318911117,,,,0.8809045318911117,0.3338457233350295,2,1628,79.43655309081078,78.62083819136024,0.0692919544179644,3.729533913220665e-12,2.37037137546329e-06,685.8937347659365,0.012817644384719,1.0
