dataset,problem_type,budget_ratio,row_arm_id,selection_method,training_reweighting,runs,primary_value_mean,primary_gain_mean,primary_gain_median,tail_gain_mean,gram_error_mean,projection_cost_error_mean,effective_sample_size_mean,fit_time_seconds_mean,fit_time_ratio_mean
diamonds__task_233211,regression,0.05,R1_capped_incumbent,capped_leverage,none,3,816.8182775015395,-0.033149083143138594,-0.03631692504293216,-0.03732976322276693,0.0593335772803173,4.724116689350254e-12,971.0,75.54001113027334,1.0514602417860217
diamonds__task_233211,regression,0.05,R2_robust_mixture,robust_leverage_mixture,none,3,812.5475749191615,-0.028120921313214652,-0.013143123279833484,-0.03183451337982725,0.0506548824829218,2.7722328295948597e-12,971.0,73.48013035270075,1.0236595815276033
diamonds__task_233211,regression,0.05,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,812.1291309197914,-0.027494811465861062,-0.023221007563339793,-0.024334952372115453,0.0506548824829218,2.7722328295948597e-12,929.1812052123668,74.23725394221644,1.0340999419335917
diamonds__task_233211,regression,0.05,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,813.8435283388397,-0.02997246461726197,-0.021231585438713427,-0.016332978980995543,0.050569853122534,1.126825700136812e-12,885.126200812986,74.23309385403991,1.034345009490311
diamonds__task_233211,regression,0.1,R0_uniform,uniform,none,3,696.5436164437864,0.0,0.0,0.0,0.05459261716563496,2.5948998115531012e-12,1942.0,73.07257704685132,1.0
diamonds__task_233211,regression,0.1,R1_capped_incumbent,capped_leverage,none,3,682.7429773999346,0.01968524874622032,0.014364681496741324,0.016654802340964597,0.0337600075358245,1.435357946854488e-12,1942.0,83.6357902760307,1.1453336344832985
diamonds__task_233211,regression,0.1,R2_robust_mixture,robust_leverage_mixture,none,3,689.1978036396921,0.010855324418426524,0.008168477676707819,0.015437019646698205,0.03793578762539923,3.148376965752148e-12,1942.0,73.54895147308707,1.0069211626079742
diamonds__task_233211,regression,0.1,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,686.1479210660851,0.015229068129547038,0.028058678042396396,0.020504403912647167,0.03793578762539923,3.148376965752148e-12,1858.552268197621,74.69152085545163,1.0222149962906906
diamonds__task_233211,regression,0.1,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,683.7128342139919,0.018208337861103166,0.025892809461494616,0.024521996560246843,0.0413452932395041,2.179089437457633e-12,1755.4966848217161,74.4359157346189,1.0189897120275437
diamonds__task_233211,regression,0.2,R0_uniform,uniform,none,3,602.5622947641323,0.0,0.0,0.0,0.027719327589976764,4.456845442771156e-12,3883.5,73.14537910744548,1.0
diamonds__task_233211,regression,0.2,R1_capped_incumbent,capped_leverage,none,3,599.2733044058418,0.005418984534339136,0.01356669219386867,0.00756871201879549,0.02539873551908863,2.019862684062812e-12,3883.5,81.82598966856797,1.1194602968325758
diamonds__task_233211,regression,0.2,R2_robust_mixture,robust_leverage_mixture,none,3,612.636639497997,-0.016790177604194826,-0.010554426086649433,-0.018569742871240028,0.0206537788040794,2.1027760288478364e-12,3883.5,75.72896392208834,1.0354657821706041
diamonds__task_233211,regression,0.2,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,608.4608045774227,-0.009802711107361235,-0.006572558171241651,-0.010549689166287977,0.0206537788040794,2.1027760288478364e-12,3724.275091173073,75.00611996402343,1.0255846637024704
diamonds__task_233211,regression,0.2,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,601.5722501821037,0.001543014780028965,0.003382012743490628,-0.0010290004145144666,0.025636041790852368,2.5642855507828804e-12,3544.7164620003873,74.33584052634735,1.016271789195633
